query_suburb,query_state,query_postcode,sa2_name,sa2_code,financial_year,dwelling_approvals
Orange,NSW,2800,Orange - North,103041078,2019-20,171
Orange,NSW,2800,Orange - North,103041078,2020-21,154
Orange,NSW,2800,Orange - North,103041078,2021-22,174
Orange,NSW,2800,Orange - North,103041078,2022-23,133
Orange,NSW,2800,Orange,103041077,2019-20,42
Orange,NSW,2800,Orange,103041077,2020-21,94
Orange,NSW,2800,Orange,103041077,2021-22,39
Orange,NSW,2800,Orange,103041077,2022-23,37
Orange,NSW,2800,Orange Surrounds,103041079,2019-20,48
Orange,NSW,2800,Orange Surrounds,103041079,2020-21,72
Orange,NSW,2800,Orange Surrounds,103041079,2021-22,64
Orange,NSW,2800,Orange Surrounds,103041079,2022-23,94
Orange,NSW,2800,Maddington - Orange Grove - Martin,506041136,2019-20,85
Orange,NSW,2800,Maddington - Orange Grove - Martin,506041136,2020-21,132
Orange,NSW,2800,Maddington - Orange Grove - Martin,506041136,2021-22,95
Orange,NSW,2800,Maddington - Orange Grove - Martin,506041136,2022-23,46
Box Hill,NSW,2765,Box Hill - Nelson,115041623,2019-20,936
Box Hill,NSW,2765,Box Hill - Nelson,115041623,2020-21,1661
Box Hill,NSW,2765,Box Hill - Nelson,115041623,2021-22,1357
Box Hill,NSW,2765,Box Hill - Nelson,115041623,2022-23,1303
Box Hill,NSW,2765,Box Hill,207031163,2019-20,865
Box Hill,NSW,2765,Box Hill,207031163,2020-21,816
Box Hill,NSW,2765,Box Hill,207031163,2021-22,407
Box Hill,NSW,2765,Box Hill,207031163,2022-23,599
Box Hill,NSW,2765,Box Hill North,207031164,2019-20,77
Box Hill,NSW,2765,Box Hill North,207031164,2020-21,109
Box Hill,NSW,2765,Box Hill North,207031164,2021-22,136
Box Hill,NSW,2765,Box Hill North,207031164,2022-23,116
Port Macquarie,NSW,2444,Port Macquarie Surrounds,108041165,2019-20,16
Port Macquarie,NSW,2444,Port Macquarie Surrounds,108041165,2020-21,15
Port Macquarie,NSW,2444,Port Macquarie Surrounds,108041165,2021-22,10
Port Macquarie,NSW,2444,Port Macquarie Surrounds,108041165,2022-23,18
Port Macquarie,NSW,2444,Port Macquarie - East,108041619,2019-20,6
Port Macquarie,NSW,2444,Port Macquarie - East,108041619,2020-21,55
Port Macquarie,NSW,2444,Port Macquarie - East,108041619,2021-22,26
Port Macquarie,NSW,2444,Port Macquarie - East,108041619,2022-23,47
Port Macquarie,NSW,2444,Port Macquarie - West,108041164,2019-20,223
Port Macquarie,NSW,2444,Port Macquarie - West,108041164,2020-21,301
Port Macquarie,NSW,2444,Port Macquarie - West,108041164,2021-22,291
Port Macquarie,NSW,2444,Port Macquarie - West,108041164,2022-23,394
Port Macquarie,NSW,2444,Port Macquarie - South,108041620,2019-20,47
Port Macquarie,NSW,2444,Port Macquarie - South,108041620,2020-21,58
Port Macquarie,NSW,2444,Port Macquarie - South,108041620,2021-22,53
Port Macquarie,NSW,2444,Port Macquarie - South,108041620,2022-23,39
Schofields,NSW,2762,Schofields - East,116021632,2019-20,1644
Schofields,NSW,2762,Schofields - East,116021632,2020-21,1991
Schofields,NSW,2762,Schofields - East,116021632,2021-22,2356
Schofields,NSW,2762,Schofields - East,116021632,2022-23,1659
Schofields,NSW,2762,Schofields (West) - Colebee,116021631,2019-20,293
Schofields,NSW,2762,Schofields (West) - Colebee,116021631,2020-21,463
Schofields,NSW,2762,Schofields (West) - Colebee,116021631,2021-22,311
Schofields,NSW,2762,Schofields (West) - Colebee,116021631,2022-23,288
Tamworth,NSW,2340,Tamworth - East,110041202,2019-20,91
Tamworth,NSW,2340,Tamworth - East,110041202,2020-21,139
Tamworth,NSW,2340,Tamworth - East,110041202,2021-22,121
Tamworth,NSW,2340,Tamworth - East,110041202,2022-23,47
Tamworth,NSW,2340,Tamworth - North,110041203,2019-20,70
Tamworth,NSW,2340,Tamworth - North,110041203,2020-21,65
Tamworth,NSW,2340,Tamworth - North,110041203,2021-22,116
Tamworth,NSW,2340,Tamworth - North,110041203,2022-23,113
Tamworth,NSW,2340,Tamworth - West,110041204,2019-20,25
Tamworth,NSW,2340,Tamworth - West,110041204,2020-21,32
Tamworth,NSW,2340,Tamworth - West,110041204,2021-22,30
Tamworth,NSW,2340,Tamworth - West,110041204,2022-23,39
Tamworth,NSW,2340,Tamworth Surrounds,110041205,2019-20,65
Tamworth,NSW,2340,Tamworth Surrounds,110041205,2020-21,123
Tamworth,NSW,2340,Tamworth Surrounds,110041205,2021-22,70
Tamworth,NSW,2340,Tamworth Surrounds,110041205,2022-23,118
Dubbo,NSW,2830,Dubbo - South,105031101,2019-20,139
Dubbo,NSW,2830,Dubbo - South,105031101,2020-21,268
