query_suburb,query_state,query_postcode,sa2_name,sa2_code,year,estimated_resident_population
Orange,NSW,2800,Orange Surrounds,103041079,2019,11823
Orange,NSW,2800,Orange Surrounds,103041079,2020,11830
Orange,NSW,2800,Orange Surrounds,103041079,2021,11810
Orange,NSW,2800,Orange Surrounds,103041079,2022,11868
Orange,NSW,2800,Orange Surrounds,103041079,2023,11966
Orange,NSW,2800,Orange,103041077,2019,19211
Orange,NSW,2800,Orange,103041077,2020,19126
Orange,NSW,2800,Orange,103041077,2021,19110
Orange,NSW,2800,Orange,103041077,2022,19135
Orange,NSW,2800,Orange,103041077,2023,19118
Orange,NSW,2800,Orange - North,103041078,2019,22313
Orange,NSW,2800,Orange - North,103041078,2020,22682
Orange,NSW,2800,Orange - North,103041078,2021,23055
Orange,NSW,2800,Orange - North,103041078,2022,23246
Orange,NSW,2800,Orange - North,103041078,2023,23524
Orange,NSW,2800,Maddington - Orange Grove - Martin,506041136,2019,14947
Orange,NSW,2800,Maddington - Orange Grove - Martin,506041136,2020,15320
Orange,NSW,2800,Maddington - Orange Grove - Martin,506041136,2021,15568
Orange,NSW,2800,Maddington - Orange Grove - Martin,506041136,2022,15849
Orange,NSW,2800,Maddington - Orange Grove - Martin,506041136,2023,16505
Box Hill,NSW,2765,Box Hill - Nelson,115041623,2019,4247
Box Hill,NSW,2765,Box Hill - Nelson,115041623,2020,6910
Box Hill,NSW,2765,Box Hill - Nelson,115041623,2021,10349
Box Hill,NSW,2765,Box Hill - Nelson,115041623,2022,14532
Box Hill,NSW,2765,Box Hill - Nelson,115041623,2023,18386
Box Hill,NSW,2765,Box Hill,207031163,2019,23432
Box Hill,NSW,2765,Box Hill,207031163,2020,24118
Box Hill,NSW,2765,Box Hill,207031163,2021,23212
Box Hill,NSW,2765,Box Hill,207031163,2022,23829
Box Hill,NSW,2765,Box Hill,207031163,2023,25286
Box Hill,NSW,2765,Box Hill North,207031164,2019,18761
Box Hill,NSW,2765,Box Hill North,207031164,2020,18903
Box Hill,NSW,2765,Box Hill North,207031164,2021,18292
Box Hill,NSW,2765,Box Hill North,207031164,2022,18396
Box Hill,NSW,2765,Box Hill North,207031164,2023,19021
Port Macquarie,NSW,2444,Port Macquarie Surrounds,108041165,2019,5347
Port Macquarie,NSW,2444,Port Macquarie Surrounds,108041165,2020,5323
Port Macquarie,NSW,2444,Port Macquarie Surrounds,108041165,2021,5286
Port Macquarie,NSW,2444,Port Macquarie Surrounds,108041165,2022,5311
Port Macquarie,NSW,2444,Port Macquarie Surrounds,108041165,2023,5305
Port Macquarie,NSW,2444,Port Macquarie - East,108041619,2019,11761
Port Macquarie,NSW,2444,Port Macquarie - East,108041619,2020,11755
Port Macquarie,NSW,2444,Port Macquarie - East,108041619,2021,11726
Port Macquarie,NSW,2444,Port Macquarie - East,108041619,2022,11857
Port Macquarie,NSW,2444,Port Macquarie - East,108041619,2023,11869
Port Macquarie,NSW,2444,Port Macquarie - West,108041164,2019,19675
Port Macquarie,NSW,2444,Port Macquarie - West,108041164,2020,20433
Port Macquarie,NSW,2444,Port Macquarie - West,108041164,2021,21189
Port Macquarie,NSW,2444,Port Macquarie - West,108041164,2022,22029
Port Macquarie,NSW,2444,Port Macquarie - West,108041164,2023,22709
Port Macquarie,NSW,2444,Port Macquarie - South,108041620,2019,17255
Port Macquarie,NSW,2444,Port Macquarie - South,108041620,2020,17256
Port Macquarie,NSW,2444,Port Macquarie - South,108041620,2021,17225
Port Macquarie,NSW,2444,Port Macquarie - South,108041620,2022,17334
Port Macquarie,NSW,2444,Port Macquarie - South,108041620,2023,17387
Schofields,NSW,2762,Schofields - East,116021632,2019,16569
Schofields,NSW,2762,Schofields - East,116021632,2020,20969
Schofields,NSW,2762,Schofields - East,116021632,2021,25363
Schofields,NSW,2762,Schofields - East,116021632,2022,29682
Schofields,NSW,2762,Schofields - East,116021632,2023,33165
Schofields,NSW,2762,Schofields (West) - Colebee,116021631,2019,7145
Schofields,NSW,2762,Schofields (West) - Colebee,116021631,2020,8478
Schofields,NSW,2762,Schofields (West) - Colebee,116021631,2021,10071
Schofields,NSW,2762,Schofields (West) - Colebee,116021631,2022,11453
Schofields,NSW,2762,Schofields (West) - Colebee,116021631,2023,12719
Tamworth,NSW,2340,Tamworth Surrounds,110041205,2019,19108
Tamworth,NSW,2340,Tamworth Surrounds,110041205,2020,19110
Tamworth,NSW,2340,Tamworth Surrounds,110041205,2021,19139
Tamworth,NSW,2340,Tamworth Surrounds,110041205,2022,19358
Tamworth,NSW,2340,Tamworth Surrounds,110041205,2023,19564
Tamworth,NSW,2340,Tamworth - East,110041202,2019,21353
Tamworth,NSW,2340,Tamworth - East,110041202,2020,21518
Tamworth,NSW,2340,Tamworth - East,110041202,2021,21611
Tamworth,NSW,2340,Tamworth - East,110041202,2022,22043
Tamworth,NSW,2340,Tamworth - East,110041202,2023,22432
Tamworth,NSW,2340,Tamworth - North,110041203,2019,16516
Tamworth,NSW,2340,Tamworth - North,110041203,2020,16517
Tamworth,NSW,2340,Tamworth - North,110041203,2021,16612
Tamworth,NSW,2340,Tamworth - North,110041203,2022,16693
Tamworth,NSW,2340,Tamworth - North,110041203,2023,16702
Tamworth,NSW,2340,Tamworth - West,110041204,2019,6047
Tamworth,NSW,2340,Tamworth - West,110041204,2020,6099
Tamworth,NSW,2340,Tamworth - West,110041204,2021,6145
Tamworth,NSW,2340,Tamworth - West,110041204,2022,6244
Tamworth,NSW,2340,Tamworth - West,110041204,2023,6362
Dubbo,NSW,2830,Dubbo Surrounds,105031103,2019,5905
Dubbo,NSW,2830,Dubbo Surrounds,105031103,2020,5950
Dubbo,NSW,2830,Dubbo Surrounds,105031103,2021,5975
Dubbo,NSW,2830,Dubbo Surrounds,105031103,2022,6022
Dubbo,NSW,2830,Dubbo Surrounds,105031103,2023,6073
Dubbo,NSW,2830,Dubbo - South,105031101,2019,19157
Dubbo,NSW,2830,Dubbo - South,105031101,2020,19543
Dubbo,NSW,2830,Dubbo - South,105031101,2021,19832
Dubbo,NSW,2830,Dubbo - South,105031101,2022,19976
Dubbo,NSW,2830,Dubbo - South,105031101,2023,20263
Dubbo,NSW,2830,Dubbo - East,105031100,2019,10725
Dubbo,NSW,2830,Dubbo - East,105031100,2020,10752
Dubbo,NSW,2830,Dubbo - East,105031100,2021,10738
Dubbo,NSW,2830,Dubbo - East,105031100,2022,10803
Dubbo,NSW,2830,Dubbo - East,105031100,2023,10784
Dubbo,NSW,2830,Dubbo - West,105031102,2019,9997
Dubbo,NSW,2830,Dubbo - West,105031102,2020,10203
Dubbo,NSW,2830,Dubbo - West,105031102,2021,10456
Dubbo,NSW,2830,Dubbo - West,105031102,2022,10543
Dubbo,NSW,2830,Dubbo - West,105031102,2023,10754
Goulburn,NSW,2580,Goulburn,101051539,2019,24345
Goulburn,NSW,2580,Goulburn,101051539,2020,24635
Goulburn,NSW,2580,Goulburn,101051539,2021,24690
Goulburn,NSW,2580,Goulburn,101051539,2022,24839
Goulburn,NSW,2580,Goulburn,101051539,2023,25017
Goulburn,NSW,2580,Goulburn Surrounds,101051540,2019,13380
Goulburn,NSW,2580,Goulburn Surrounds,101051540,2020,13596
Goulburn,NSW,2580,Goulburn Surrounds,101051540,2021,13794
Goulburn,NSW,2580,Goulburn Surrounds,101051540,2022,13945
Goulburn,NSW,2580,Goulburn Surrounds,101051540,2023,14121
Marsden Park,NSW,2765,Marsden Park - Shanes Park,116021629,2019,6230
Marsden Park,NSW,2765,Marsden Park - Shanes Park,116021629,2020,11545
Marsden Park,NSW,2765,Marsden Park - Shanes Park,116021629,2021,15653
Marsden Park,NSW,2765,Marsden Park - Shanes Park,116021629,2022,19870
Marsden Park,NSW,2765,Marsden Park - Shanes Park,116021629,2023,23778
Austral,NSW,2179,Austral - Greendale,127011505,2019,9866
Austral,NSW,2179,Austral - Greendale,127011505,2020,10925
Austral,NSW,2179,Austral - Greendale,127011505,2021,12581
Austral,NSW,2179,Austral - Greendale,127011505,2022,14528
Austral,NSW,2179,Austral - Greendale,127011505,2023,16734
Austral,NSW,2179,Australind - Leschenault,501021005,2019,19201
Austral,NSW,2179,Australind - Leschenault,501021005,2020,19619
Austral,NSW,2179,Australind - Leschenault,501021005,2021,19997
Austral,NSW,2179,Australind - Leschenault,501021005,2022,20370
Austral,NSW,2179,Australind - Leschenault,501021005,2023,20786
Googong,NSW,2620,Googong,101021610,2019,4495
Googong,NSW,2620,Googong,101021610,2020,5464
Googong,NSW,2620,Googong,101021610,2021,6254
Googong,NSW,2620,Googong,101021610,2022,6748
Googong,NSW,2620,Googong,101021610,2023,7352
Glenmore Park,NSW,2745,Glenmore Park - Regentville,124031460,2019,21570
Glenmore Park,NSW,2745,Glenmore Park - Regentville,124031460,2020,21421
Glenmore Park,NSW,2745,Glenmore Park - Regentville,124031460,2021,21159
Glenmore Park,NSW,2745,Glenmore Park - Regentville,124031460,2022,20962
Glenmore Park,NSW,2745,Glenmore Park - Regentville,124031460,2023,21082
Oran Park,NSW,2570,Oran Park,127011729,2019,12212
Oran Park,NSW,2570,Oran Park,127011729,2020,14874
Oran Park,NSW,2570,Oran Park,127011729,2021,17786
Oran Park,NSW,2570,Oran Park,127011729,2022,20629
Oran Park,NSW,2570,Oran Park,127011729,2023,22542
Armidale,NSW,2350,Armidale,110011186,2019,24509
Armidale,NSW,2350,Armidale,110011186,2020,24409
Armidale,NSW,2350,Armidale,110011186,2021,24170
Armidale,NSW,2350,Armidale,110011186,2022,24180
Armidale,NSW,2350,Armidale,110011186,2023,24373
Armidale,NSW,2350,Armidale Surrounds - North,110011187,2019,4550
Armidale,NSW,2350,Armidale Surrounds - North,110011187,2020,4549
Armidale,NSW,2350,Armidale Surrounds - North,110011187,2021,4535
Armidale,NSW,2350,Armidale Surrounds - North,110011187,2022,4552
