suburb,state,postcode,domain_slug,property_category,bedrooms,median_sold_price,days_on_market,auction_clearance_rate,number_sold,median_rent_price,rental_yield_pct,entry_level_price,luxury_level_price
Orange,NSW,2800,orange-nsw-2800,House,2,600000,36,0,58,500,4.33,379250,797500
Orange,NSW,2800,orange-nsw-2800,House,3,675000,30,0,422,560,4.31,434500,1000000
Orange,NSW,2800,orange-nsw-2800,House,4,875000,45,0,318,680,4.04,630800,1510000
Orange,NSW,2800,orange-nsw-2800,House,5,1000000,70,0,63,760,3.95,745500,1995000
Orange,NSW,2800,orange-nsw-2800,Unit,1,0,0,0,4,390,,0,0
Orange,NSW,2800,orange-nsw-2800,Unit,2,487500,36,0,60,470,5.01,379750,622750
Orange,NSW,2800,orange-nsw-2800,Unit,3,605000,43,0,13,540,4.64,519000,788000
Box Hill,NSW,2765,box-hill-nsw-2765,House,2,0,0,0,4,550,,0,0
Box Hill,NSW,2765,box-hill-nsw-2765,House,3,1158000,30,0,27,750,3.37,883500,1315000
Box Hill,NSW,2765,box-hill-nsw-2765,House,4,1250000,61,0.59375,299,820,3.41,975550,1561500
Box Hill,NSW,2765,box-hill-nsw-2765,House,5,1475000,62,0.5102040816326531,220,900,3.17,1187000,1823000
Box Hill,NSW,2765,box-hill-nsw-2765,Unit,1,0,0,0,3,495,,0,0
Box Hill,NSW,2765,box-hill-nsw-2765,Unit,2,0,0,0,5,0,,0,0
Box Hill,NSW,2765,box-hill-nsw-2765,Unit,3,807000,0,0,11,0,,667500,1002500
Port Macquarie,NSW,2444,port-macquarie-nsw-2444,House,2,630000,40,0,58,530,4.37,333000,1170000
Port Macquarie,NSW,2444,port-macquarie-nsw-2444,House,3,840000,25,0.42857142857142855,352,648,4.01,614750,1400000
Port Macquarie,NSW,2444,port-macquarie-nsw-2444,House,4,1050000,33,0.4230769230769231,302,755,3.74,819425,1859000
Port Macquarie,NSW,2444,port-macquarie-nsw-2444,House,5,1252500,61,0.14285714285714285,55,875,3.63,853750,2658750
Port Macquarie,NSW,2444,port-macquarie-nsw-2444,Unit,1,355000,166,0,18,400,5.86,186500,507250
Port Macquarie,NSW,2444,port-macquarie-nsw-2444,Unit,2,590000,35,0,230,495,4.36,409575,927750
Port Macquarie,NSW,2444,port-macquarie-nsw-2444,Unit,3,770000,38,0,113,600,4.05,579000,2060000
Schofields,NSW,2762,schofields-nsw-2762,House,2,0,0,0,5,620,,0,0
Schofields,NSW,2762,schofields-nsw-2762,House,3,1155000,24,0.5882352941176471,48,750,3.38,885733,1573000
Schofields,NSW,2762,schofields-nsw-2762,House,4,1251115,29,0.6626506024096386,193,830,3.45,899545,1534500
Schofields,NSW,2762,schofields-nsw-2762,House,5,1400000,37,0.5428571428571428,57,900,3.34,1225000,1747000
Schofields,NSW,2762,schofields-nsw-2762,Unit,1,510000,69,0,53,550,5.61,368000,800000
Schofields,NSW,2762,schofields-nsw-2762,Unit,2,615250,61,0,211,660,5.58,550450,744600
Schofields,NSW,2762,schofields-nsw-2762,Unit,3,761000,121,0,69,750,5.12,684600,929280
Tamworth,NSW,2340,tamworth-nsw-2340,House,2,0,0,0,1,445,,0,0
Tamworth,NSW,2340,tamworth-nsw-2340,House,3,0,0,0,2,540,,0,0
Tamworth,NSW,2340,tamworth-nsw-2340,House,4,0,0,0,4,0,,0,0
Tamworth,NSW,2340,tamworth-nsw-2340,House,5,0,0,0,2,0,,0,0
Tamworth,NSW,2340,tamworth-nsw-2340,Unit,1,0,0,0,1,0,,0,0
Tamworth,NSW,2340,tamworth-nsw-2340,Unit,2,0,0,0,0,430,,0,0
Tamworth,NSW,2340,tamworth-nsw-2340,Unit,3,0,0,0,0,0,,0,0
Dubbo,NSW,2830,dubbo-nsw-2830,House,2,550000,32,0,68,430,4.07,370000,891250
Dubbo,NSW,2830,dubbo-nsw-2830,House,3,619500,23,0,378,550,4.62,434600,781000
Dubbo,NSW,2830,dubbo-nsw-2830,House,4,750000,31,0,451,650,4.51,523000,1188000
Dubbo,NSW,2830,dubbo-nsw-2830,House,5,880400,73,0,55,740,4.37,520000,1418000
Dubbo,NSW,2830,dubbo-nsw-2830,Unit,1,0,0,0,1,340,,0,0
Dubbo,NSW,2830,dubbo-nsw-2830,Unit,2,422500,44,0,34,390,4.8,303875,547000
Dubbo,NSW,2830,dubbo-nsw-2830,Unit,3,0,0,0,5,520,,0,0
Goulburn,NSW,2580,goulburn-nsw-2580,House,2,550000,32,0.6363636363636364,46,430,4.07,315000,708750
Goulburn,NSW,2580,goulburn-nsw-2580,House,3,649000,34,0.6363636363636364,275,500,4.01,496500,896750
Goulburn,NSW,2580,goulburn-nsw-2580,House,4,795000,54,0.38636363636363635,194,600,3.92,597200,1289000
Goulburn,NSW,2580,goulburn-nsw-2580,House,5,899000,77,0,43,560,3.24,551600,1718000
Goulburn,NSW,2580,goulburn-nsw-2580,Unit,1,0,0,0,2,340,,0,0
Goulburn,NSW,2580,goulburn-nsw-2580,Unit,2,370000,48,0,22,400,5.62,270000,594250
Goulburn,NSW,2580,goulburn-nsw-2580,Unit,3,635000,0,0,14,0,,300000,760000
Marsden Park,NSW,2765,marsden-park-nsw-2765,House,2,815000,26,0,17,680,4.34,369000,872500
Marsden Park,NSW,2765,marsden-park-nsw-2765,House,3,900000,47,0,83,750,4.33,850300,1149000
Marsden Park,NSW,2765,marsden-park-nsw-2765,House,4,1199500,44,0.45,215,840,3.64,923250,1429000
Marsden Park,NSW,2765,marsden-park-nsw-2765,House,5,1425000,50,0.4411764705882353,113,900,3.28,1163750,1741750
Marsden Park,NSW,2765,marsden-park-nsw-2765,Unit,1,589990,0,0,10,500,4.41,544680,645490
Marsden Park,NSW,2765,marsden-park-nsw-2765,Unit,2,719990,0,0,12,665,4.8,709990,719990
Marsden Park,NSW,2765,marsden-park-nsw-2765,Unit,3,0,0,0,7,0,,0,0
Austral,NSW,2179,austral-nsw-2179,House,2,0,0,0,5,550,,0,0
Austral,NSW,2179,austral-nsw-2179,House,3,1017500,36,0,40,720,3.68,679850,1407500
Austral,NSW,2179,austral-nsw-2179,House,4,1135000,30,0.4222222222222222,248,800,3.67,665000,1606100
Austral,NSW,2179,austral-nsw-2179,House,5,1309000,38,0.5,139,900,3.58,1078000,1565420
Austral,NSW,2179,austral-nsw-2179,Unit,1,0,0,0,0,425,,0,0
Austral,NSW,2179,austral-nsw-2179,Unit,2,0,0,0,1,550,,0,0
Austral,NSW,2179,austral-nsw-2179,Unit,3,0,0,0,0,0,,0,0
Googong,NSW,2620,googong-nsw-2620,House,2,675000,0,0,13,625,4.81,597447,717940
Googong,NSW,2620,googong-nsw-2620,House,3,835000,33,0,44,700,4.36,702000,1072600
Googong,NSW,2620,googong-nsw-2620,House,4,1110000,78,0,180,845,3.96,918000,1381000
Googong,NSW,2620,googong-nsw-2620,House,5,1300000,57,0,21,880,3.52,1020000,1950000
Googong,NSW,2620,googong-nsw-2620,Unit,1,0,0,0,2,0,,0,0
Googong,NSW,2620,googong-nsw-2620,Unit,2,560000,49,0,17,590,5.48,482000,607000
Googong,NSW,2620,googong-nsw-2620,Unit,3,0,0,0,1,0,,0,0
Glenmore Park,NSW,2745,glenmore-park-nsw-2745,House,2,760000,0,0,15,570,3.9,738000,820000
Glenmore Park,NSW,2745,glenmore-park-nsw-2745,House,3,1005000,9,0,99,680,3.52,830000,1161500
Glenmore Park,NSW,2745,glenmore-park-nsw-2745,House,4,1295000,16,0,168,815,3.27,938750,1697500
Glenmore Park,NSW,2745,glenmore-park-nsw-2745,House,5,1628000,17,0,58,990,3.16,1340400,2245000
Glenmore Park,NSW,2745,glenmore-park-nsw-2745,Unit,1,0,0,0,1,455,,0,0
Glenmore Park,NSW,2745,glenmore-park-nsw-2745,Unit,2,740000,39,0,36,660,4.64,547500,806250
Glenmore Park,NSW,2745,glenmore-park-nsw-2745,Unit,3,900000,0,0,13,0,,802000,1013000
Oran Park,NSW,2570,oran-park-nsw-2570,House,2,875000,18,0,15,550,3.27,754000,1535000
Oran Park,NSW,2570,oran-park-nsw-2570,House,3,1020000,18,0,29,720,3.67,913800,1231000
Oran Park,NSW,2570,oran-park-nsw-2570,House,4,1195250,25,0.5625,222,780,3.39,971000,1560500
Oran Park,NSW,2570,oran-park-nsw-2570,House,5,1370000,40,0,72,900,3.42,1088750,1686250
Oran Park,NSW,2570,oran-park-nsw-2570,Unit,1,0,0,0,6,450,,0,0
Oran Park,NSW,2570,oran-park-nsw-2570,Unit,2,775000,56,0,17,650,4.36,661900,832500
Oran Park,NSW,2570,oran-park-nsw-2570,Unit,3,0,0,0,0,0,,0,0
Armidale,NSW,2350,armidale-nsw-2350,House,2,450000,55,0,50,420,4.85,298500,739250
Armidale,NSW,2350,armidale-nsw-2350,House,3,570000,28,0.4,272,500,4.56,390000,767500
Armidale,NSW,2350,armidale-nsw-2350,House,4,700000,48,0.3333333333333333,226,575,4.27,500625,1035000
Armidale,NSW,2350,armidale-nsw-2350,House,5,810000,61,0,61,650,4.17,553000,1350000
Armidale,NSW,2350,armidale-nsw-2350,Unit,1,0,0,0,5,295,,0,0
Armidale,NSW,2350,armidale-nsw-2350,Unit,2,335000,65,0,33,370,5.74,253800,556500
Armidale,NSW,2350,armidale-nsw-2350,Unit,3,512500,0,0,21,480,4.87,370500,670500
St Ives,NSW,2075,st-ives-nsw-2075,House,2,0,0,0,7,0,,0,0
St Ives,NSW,2075,st-ives-nsw-2075,House,3,2100000,61,0.5476190476190477,41,1200,2.97,1550000,3800000
St Ives,NSW,2075,st-ives-nsw-2075,House,4,3100000,56,0.47959183673469385,81,1500,2.52,2099000,4462200
St Ives,NSW,2075,st-ives-nsw-2075,House,5,3888000,91,0.46875,94,1800,2.41,2607000,7290000
St Ives,NSW,2075,st-ives-nsw-2075,Unit,1,630000,99,0,16,690,5.7,557000,727000
St Ives,NSW,2075,st-ives-nsw-2075,Unit,2,962500,45,0.43859649122807015,85,850,4.59,770000,1346025
St Ives,NSW,2075,st-ives-nsw-2075,Unit,3,1630000,43,0.41935483870967744,37,1150,3.67,1114000,3065000
Muswellbrook,NSW,2333,muswellbrook-nsw-2333,House,2,405000,49,0,18,420,5.39,296750,679500
Muswellbrook,NSW,2333,muswellbrook-nsw-2333,House,3,530000,26,0,160,520,5.1,380000,718200
Muswellbrook,NSW,2333,muswellbrook-nsw-2333,House,4,665000,33,0,151,620,4.85,520000,830000
