suburb,state,postcode,year,month,listings,properties,vr
Orange,NSW,2800,2005,1,28,4622,0.0061
Orange,NSW,2800,2005,2,22,4625,0.0048
Orange,NSW,2800,2005,3,39,4627,0.0084
Orange,NSW,2800,2005,4,17,4630,0.0037
Orange,NSW,2800,2005,5,20,4633,0.0043
Orange,NSW,2800,2005,6,14,4636,0.0030
Orange,NSW,2800,2005,7,11,4638,0.0024
Orange,NSW,2800,2005,8,12,4641,0.0026
Orange,NSW,2800,2005,9,29,4644,0.0062
Orange,NSW,2800,2005,10,19,4647,0.0041
Orange,NSW,2800,2005,11,15,4649,0.0032
Orange,NSW,2800,2005,12,14,4652,0.0030
Orange,NSW,2800,2006,1,14,4655,0.0030
Orange,NSW,2800,2006,2,26,4658,0.0056
Orange,NSW,2800,2006,3,72,4660,0.0155
Orange,NSW,2800,2006,4,28,4663,0.0060
Orange,NSW,2800,2006,5,51,4666,0.0109
Orange,NSW,2800,2006,6,50,4669,0.0107
Orange,NSW,2800,2006,7,60,4671,0.0128
Orange,NSW,2800,2006,8,51,4674,0.0109
Orange,NSW,2800,2006,9,28,4686,0.0060
Orange,NSW,2800,2006,10,29,4698,0.0062
Orange,NSW,2800,2006,11,32,4711,0.0068
Orange,NSW,2800,2006,12,14,4723,0.0030
Orange,NSW,2800,2007,1,13,4735,0.0027
Orange,NSW,2800,2007,2,13,4747,0.0027
Orange,NSW,2800,2007,3,27,4759,0.0057
Orange,NSW,2800,2007,4,11,4772,0.0023
Orange,NSW,2800,2007,5,17,4784,0.0036
Orange,NSW,2800,2007,6,15,4796,0.0031
Orange,NSW,2800,2007,7,21,4808,0.0044
Orange,NSW,2800,2007,8,29,4820,0.0060
Orange,NSW,2800,2007,9,29,4833,0.0060
Orange,NSW,2800,2007,10,52,4845,0.0107
Orange,NSW,2800,2007,11,65,4857,0.0134
Orange,NSW,2800,2007,12,77,4869,0.0158
Orange,NSW,2800,2008,1,84,4881,0.0172
Orange,NSW,2800,2008,2,63,4894,0.0129
